error_id,date_found,chapter,batch_id,block_id,resource_id,category,subcategory,severity,english_fragment,russian_fragment,description,rationale,required_fix,source,xhtml_path,pdf_page,status,initial_check,root_cause,related_error_ids,reviewer_note,correction,recheck,reserved
CH06-ERR-101,2026-08-16,CH06,CH06-BATCH-007,CH06-B0248,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,STRUCTURE,target_html_text_sync,High,"The label buffer removes training observations whose labels overlap with those in the validation set. Its size equals the label horizon: for 20-day forward returns, exclude training observations within 20 (trading) days of the validation boundary. For one-day-ahead forecasts on daily data, no buffer is needed. López de Prado (2018) calls this purging .","Буфер меток исключает обучающие наблюдения, метки которых пересекаются с метками проверочной выборки. Его размер равен горизонту метки: для 20-дневной будущей доходности исключите обучающие наблюдения в пределах 20 торговых дней от границы проверки. Для прогнозов на один день вперёд по дневным данным буфер не требуется. Лопес де Прадо (2018) называет это исключением пересекающихся наблюдений.",Rendered target_html did not exactly match russian_text at inline-markup boundaries.,"Pretty-print whitespace and, for some blocks, punctuation/text-node wording produced a divergent browser text stream.",Change only target text nodes and serialization whitespace while preserving the full XHTML skeleton and attributes.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[145]/*[1],180/139,VERIFIED_CLOSED,CONFIRMED,translation inserted content into pretty-printed inline XHTML without boundary normalization,,,Compacted target-only serialization and synchronized text nodes to the accepted Russian text.,PASS: independent structural recheck confirmed exact 40/40 target text and unchanged skeleton/attributes.,
CH06-ERR-102,2026-08-16,CH06,CH06-BATCH-007,CH06-B0252,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,STRUCTURE,target_html_text_sync,High,"To make that boundary operational, reserve a sealed holdout test set : a final time block that plays no role in any development decision (signal definition, feature selection, hyperparameter tuning, model selection, or reporting choices). The holdout may be inspected only after the pipeline is frozen. During development, we select using the primary development metric computed on walk-forward validation; we report strategy outcomes after freezing the pipeline; and we use the sealed holdout only once for confirmation.","Чтобы сделать эту границу рабочей, зарезервируйте изолированную отложенную тестовую выборку: заключительный временной блок, который не участвует ни в одном решении разработки (определении сигнала, отборе признаков, настройке гиперпараметров, выборе модели или выборе способа представления результатов). Отложенную выборку можно изучать только после фиксации конвейера. В ходе разработки отбор ведётся по основной метрике разработки, рассчитанной при пошаговой проверке с продвижением во времени; результаты стратегии представляются после фиксации конвейера; изолированная отложенная выборка используется лишь один раз для подтверждающей проверки.",Rendered target_html did not exactly match russian_text at inline-markup boundaries.,"Pretty-print whitespace and, for some blocks, punctuation/text-node wording produced a divergent browser text stream.",Change only target text nodes and serialization whitespace while preserving the full XHTML skeleton and attributes.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[148],181/140,VERIFIED_CLOSED,CONFIRMED,translation inserted content into pretty-printed inline XHTML without boundary normalization,,,Compacted target-only serialization and synchronized text nodes to the accepted Russian text.,PASS: independent structural recheck confirmed exact 40/40 target text and unchanged skeleton/attributes.,
CH06-ERR-103,2026-08-16,CH06,CH06-BATCH-007,CH06-B0254,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,STRUCTURE,target_html_text_sync,High,"Fixed holdout (tune once, test once) : Use walk-forward validation on the development period to select a single configuration, freeze the full pipeline (including the score-to-trade mapping and cost/constraint assumptions), and evaluate it once on the sealed holdout to estimate out-of-sample performance.","Фиксированная отложенная выборка (один раз настроить, один раз протестировать): примените пошаговую проверку с продвижением во времени на периоде разработки, чтобы выбрать единственную конфигурацию, зафиксируйте весь конвейер (включая преобразование оценок в сделки и предположения об издержках и ограничениях), а затем однократно оцените его на изолированной отложенной выборке, чтобы получить оценку качества вне обучающей выборки.",Rendered target_html did not exactly match russian_text at inline-markup boundaries.,"Pretty-print whitespace and, for some blocks, punctuation/text-node wording produced a divergent browser text stream.",Change only target text nodes and serialization whitespace while preserving the full XHTML skeleton and attributes.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[150]/*[1],181/140,VERIFIED_CLOSED,CONFIRMED,translation inserted content into pretty-printed inline XHTML without boundary normalization,,,Compacted target-only serialization and synchronized text nodes to the accepted Russian text.,PASS: independent structural recheck confirmed exact 40/40 target text and unchanged skeleton/attributes.,
CH06-ERR-104,2026-08-16,CH06,CH06-BATCH-007,CH06-B0255,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,STRUCTURE,target_html_text_sync,High,"Rolling retuning : To estimate the performance of a procedure that regularly retunes as new data arrives, split the overall test period into smaller windows and repeat the “fixed holdout” procedure for each window. At each test step, tune using only data strictly prior to the next test window, refit on admissible history, and then score on the next test window. Each test window is used for measurement only. This approach is called nested walk-forward because it uses an outer test loop and an inner model-selection loop. Bates et al. (2021) show that confidence intervals computed from nested CV have superior statistical properties. Figure 6.4 illustrates this procedure with expanding and rolling windows.","Скользящая перенастройка: чтобы оценить качество процедуры, которую регулярно перенастраивают по мере поступления новых данных, разделите общий тестовый период на меньшие окна и повторите для каждого окна процедуру «фиксированной отложенной выборки». На каждом шаге тестирования выполняйте настройку только по данным, строго предшествующим следующему тестовому окну, повторно обучайте модель на допустимой истории, а затем оценивайте модель на следующем тестовом окне. Каждое тестовое окно используется только для измерения. Этот подход называется вложенной пошаговой проверкой с продвижением во времени, поскольку в нём применяются внешний цикл тестирования и внутренний цикл выбора модели. Бейтс и соавт. (2021) показывают, что доверительные интервалы, рассчитанные с помощью вложенной перекрёстной проверки, обладают лучшими статистическими свойствами. На рисунке 6.4 эта процедура показана для расширяющихся и скользящих окон.",Rendered target_html did not exactly match russian_text at inline-markup boundaries.,"Pretty-print whitespace and, for some blocks, punctuation/text-node wording produced a divergent browser text stream.",Change only target text nodes and serialization whitespace while preserving the full XHTML skeleton and attributes.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[150]/*[2],181/140,VERIFIED_CLOSED,CONFIRMED,translation inserted content into pretty-printed inline XHTML without boundary normalization,,,Compacted target-only serialization and synchronized text nodes to the accepted Russian text.,PASS: independent structural recheck confirmed exact 40/40 target text and unchanged skeleton/attributes.,
CH06-ERR-105,2026-08-16,CH06,CH06-BATCH-007,CH06-B0259,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,STRUCTURE,target_html_text_sync,High,"A standard walk-forward yields a single sequence of out-of-sample windows: a single historical path. Combinatorial methods partition time into blocks and evaluate many train–test combinations, producing a distribution of out-of-sample outcomes rather than a single trajectory. The motivation is path dependence : a strategy may appear unusually strong or weak depending on which regimes fall along the single test path.","Стандартная пошаговая проверка с продвижением во времени формирует единственную последовательность окон вне обучающей выборки — одну историческую траекторию. Комбинаторные методы разбивают время на блоки и оценивают множество сочетаний обучающих и тестовых данных, получая распределение результатов вне обучающей выборки вместо одной траектории. Причина применения такого подхода — зависимость от траектории: стратегия может выглядеть необычно сильной или слабой в зависимости от того, какие режимы попали на единственную тестовую траекторию.",Rendered target_html did not exactly match russian_text at inline-markup boundaries.,"Pretty-print whitespace and, for some blocks, punctuation/text-node wording produced a divergent browser text stream.",Change only target text nodes and serialization whitespace while preserving the full XHTML skeleton and attributes.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[155],182/141,VERIFIED_CLOSED,CONFIRMED,translation inserted content into pretty-printed inline XHTML without boundary normalization,,,Compacted target-only serialization and synchronized text nodes to the accepted Russian text.,PASS: independent structural recheck confirmed exact 40/40 target text and unchanged skeleton/attributes.,
CH06-ERR-106,2026-08-16,CH06,CH06-BATCH-007,CH06-B0260,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,STRUCTURE,target_html_text_sync,High,"López de Prado (2018) proposes Combinatorial Purged Cross-Validation ( CPCV ), which selects k groups of contiguous observations from n total groups, creating distinct train/test configurations. Each configuration applies both label and feature buffers—necessary because validation groups can appear anywhere relative to training blocks.","Лопес де Прадо (2018) предлагает комбинаторную перекрёстную проверку с исключением пересекающихся наблюдений — Combinatorial Purged Cross-Validation (CPCV), которая выбирает k групп смежных наблюдений из общего числа n групп, образуя различные конфигурации обучающих и тестовых данных. В каждой конфигурации применяются и буфер меток, и буфер признаков — это необходимо, поскольку проверочные группы могут располагаться в любом месте относительно обучающих блоков.",Rendered target_html did not exactly match russian_text at inline-markup boundaries.,"Pretty-print whitespace and, for some blocks, punctuation/text-node wording produced a divergent browser text stream.",Change only target text nodes and serialization whitespace while preserving the full XHTML skeleton and attributes.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[156],182/141,VERIFIED_CLOSED,CONFIRMED,translation inserted content into pretty-printed inline XHTML without boundary normalization,,,Compacted target-only serialization and synchronized text nodes to the accepted Russian text.,PASS: independent structural recheck confirmed exact 40/40 target text and unchanged skeleton/attributes.,
CH06-ERR-107,2026-08-16,CH06,CH06-BATCH-007,CH06-B0261,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,STRUCTURE,target_html_text_sync,High,"Combinatorial evaluation is most useful when comparing many variants and seeking a more stable view of selection risk. It does not replace decision-time discipline: overlap leakage must still be prevented using the buffers described above, and each test block must be treated as “future” relative to its paired training blocks. Combinatorial evaluation is computationally expensive— configurations grow quickly—and offers diminishing returns when the time series is short or when most blocks share the same regime. We will discuss CPCV in more detail in Chapter 17 .","Комбинаторная оценка особенно полезна при сравнении множества вариантов и поиске более устойчивого представления о риске отбора. Она не отменяет дисциплину учёта момента принятия решения: утечку из-за пересечений по-прежнему необходимо предотвращать с помощью описанных выше буферов, а каждый тестовый блок следует рассматривать как «будущее» относительно соответствующих обучающих блоков. Комбинаторная оценка требует значительных вычислительных ресурсов: число конфигураций быстро растёт, а при коротком временном ряде или одном и том же рыночном режиме в большинстве блоков дополнительная отдача снижается. Подробнее CPCV рассматривается в главе 17.",Rendered target_html did not exactly match russian_text at inline-markup boundaries.,"Pretty-print whitespace and, for some blocks, punctuation/text-node wording produced a divergent browser text stream.",Change only target text nodes and serialization whitespace while preserving the full XHTML skeleton and attributes.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[157],182/141,VERIFIED_CLOSED,CONFIRMED,translation inserted content into pretty-printed inline XHTML without boundary normalization,,,Compacted target-only serialization and synchronized text nodes to the accepted Russian text.,PASS: independent structural recheck confirmed exact 40/40 target text and unchanged skeleton/attributes.,
CH06-ERR-108,2026-08-16,CH06,CH06-BATCH-007,CH06-B0270,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,STRUCTURE,target_html_text_sync,High,"These are design commitments, not tuning parameters. Changing them mid-research defines a different evaluation procedure rather than an “improved” result under the same evaluation. Throughout, we encode these commitments in the setup.yaml configuration that each setup notebook writes; downstream chapters convert it to a WalkForwardConfig object for the ml4t-diagnostic splitters. This makes the evaluation design both explicit and executable. Logging these choices before experimentation enables reproducibility and makes “the same strategy” operationally well-defined.","Это фиксируемые параметры схемы оценки, а не параметры настройки. Их изменение в ходе исследования задаёт другую процедуру оценки, а не «улучшенный» результат при прежней оценке. В книге эти параметры записываются в конфигурацию setup.yaml, создаваемую каждым подготовительным блокнотом; в последующих главах она преобразуется в объект WalkForwardConfig для средств разбиения ml4t-diagnostic. Благодаря этому схема оценки становится одновременно явной и исполняемой. Регистрация этих решений до начала экспериментов обеспечивает воспроизводимость и даёт рабочее определение «той же самой стратегии».",Rendered target_html did not exactly match russian_text at inline-markup boundaries.,"Pretty-print whitespace and, for some blocks, punctuation/text-node wording produced a divergent browser text stream.",Change only target text nodes and serialization whitespace while preserving the full XHTML skeleton and attributes.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[161],182/141,VERIFIED_CLOSED,CONFIRMED,translation inserted content into pretty-printed inline XHTML without boundary normalization,,,Compacted target-only serialization and synchronized text nodes to the accepted Russian text.,PASS: independent structural recheck confirmed exact 40/40 target text and unchanged skeleton/attributes.,
CH06-ERR-109,2026-08-16,CH06,CH06-BATCH-007,CH06-B0271,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,STRUCTURE,target_html_text_sync,High,"Figure 6.5 shows the prediction coverage across the case studies. Coverage varies substantially; this heterogeneity motivates strategy-specific protocol choices, and the figure serves as a reference for understanding the statistical depth available for each case study.","На рисунке 6.5 показан охват прогнозов по практическим примерам. Охват существенно различается; эта неоднородность требует выбирать протокол с учётом конкретной стратегии, а рисунок помогает оценить доступный объём данных для статистического анализа по каждому практическому примеру.",Rendered target_html did not exactly match russian_text at inline-markup boundaries.,"Pretty-print whitespace and, for some blocks, punctuation/text-node wording produced a divergent browser text stream.",Change only target text nodes and serialization whitespace while preserving the full XHTML skeleton and attributes.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[162],183/142,VERIFIED_CLOSED,CONFIRMED,translation inserted content into pretty-printed inline XHTML without boundary normalization,,,Compacted target-only serialization and synchronized text nodes to the accepted Russian text.,PASS: independent structural recheck confirmed exact 40/40 target text and unchanged skeleton/attributes.,
CH06-ERR-110,2026-08-16,CH06,CH06-BATCH-007,CH06-B0278,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,STRUCTURE,target_html_text_sync,High,"Timing sanity. Confirm that the baseline measurement and label can be computed using only information available at the declared decision snapshot, respecting data and model pipeline timelines, and execution delays.","Проверка временной согласованности. Убедитесь, что показатель базового варианта и метку можно рассчитать, используя только информацию, доступную в заявленном срезе данных на момент принятия решения, с учётом временных графиков конвейеров данных и модели, а также задержек исполнения заявок.",Rendered target_html did not exactly match russian_text at inline-markup boundaries.,"Pretty-print whitespace and, for some blocks, punctuation/text-node wording produced a divergent browser text stream.",Change only target text nodes and serialization whitespace while preserving the full XHTML skeleton and attributes.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[170]/*[1],183/142,VERIFIED_CLOSED,CONFIRMED,translation inserted content into pretty-printed inline XHTML without boundary normalization,,,Compacted target-only serialization and synchronized text nodes to the accepted Russian text.,PASS: independent structural recheck confirmed exact 40/40 target text and unchanged skeleton/attributes.,
CH06-ERR-111,2026-08-16,CH06,CH06-BATCH-007,CH06-B0279,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,STRUCTURE,target_html_text_sync,High,"Coverage sanity. Report how much of the intended universe is actually tradable at each decision time under the eligibility rules, and whether that coverage changes materially across history.","Проверка охвата. Укажите, какая доля предполагаемой совокупности активов действительно доступна для торговли в каждый момент принятия решения с учётом правил допустимости и существенно ли меняется этот охват на протяжении истории.",Rendered target_html did not exactly match russian_text at inline-markup boundaries.,"Pretty-print whitespace and, for some blocks, punctuation/text-node wording produced a divergent browser text stream.",Change only target text nodes and serialization whitespace while preserving the full XHTML skeleton and attributes.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[170]/*[2],183/142,VERIFIED_CLOSED,CONFIRMED,translation inserted content into pretty-printed inline XHTML without boundary normalization,,,Compacted target-only serialization and synchronized text nodes to the accepted Russian text.,PASS: independent structural recheck confirmed exact 40/40 target text and unchanged skeleton/attributes.,
CH06-ERR-112,2026-08-16,CH06,CH06-BATCH-007,CH06-B0249,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,LANGUAGE,modality,High,"The feature buffer removes training observations whose feature lookback windows overlap with the validation period. This buffer is only needed when training data appear after the validation period, which does not occur in standard walk-forward CV but does occur in k-fold and combinatorial schemes. López de Prado (2018) calls this an embargo and proposes 1% of the sample length as a rule of thumb; the appropriate size depends on the strategy’s horizon and the strength of temporal dependence.","Буфер признаков исключает обучающие наблюдения, ретроспективные окна признаков которых пересекаются с проверочным периодом. Этот буфер нужен только тогда, когда обучающие данные расположены после проверочного периода: в стандартной пошаговой перекрёстной проверке с продвижением во времени этого не происходит, но это происходит в k-кратных и комбинаторных схемах. Лопес де Прадо (2018) называет такой зазор эмбарго между выборками и предлагает в качестве практического ориентира 1 % длины выборки; подходящий размер зависит от горизонта стратегии и силы временной зависимости.",The categorical source statement was weakened to possibility.,The source says the overlap does occur in k-fold and combinatorial schemes.,Replace «это возможно» with categorical «это происходит».,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[145]/*[2],181/140,VERIFIED_CLOSED,CONFIRMED,modal weakening,,,Changed to «это происходит в k-кратных и комбинаторных схемах».,PASS: independent language recheck confirmed source modality.,
