error_id,date_found,chapter,batch_id,block_id,resource_id,category,subcategory,severity,english_fragment,russian_fragment,description,rationale,required_fix,source,xhtml_path,pdf_page,status,initial_check,root_cause,related_error_ids,reviewer_note,correction,recheck,reserved
CH09-ERR-001,2026-08-15,CH09,CH09-BATCH-001,,,QA_DOCUMENTATION_CONSISTENCY,production_contour,Blocker,,,Исходный реестр был Office-файлом и не поддерживал Sheets API,Препятствовало производственной записи,Использовать нативный реестр,Drive metadata,,,CLOSED,PASS,формат исходного реестра,,Историческая закрытая ошибка,Создан нативный реестр,PASS
CH09-ERR-012,2026-08-15,CH09,CH09-BATCH-001,CH09-B0003; CH09-B0004; CH09-B0005; CH09-B0007; CH09-B0008; CH09-B0012; CH09-B0013; CH09-B0015; CH09-B0022; CH09-B0025; CH09-B0037; CH09-B0038,,TERMINOLOGY,glossary_mismatch,Major,regime / regime probabilities / regime model / regime shifts,режим / вероятности режимов / режимная модель / смена режимов,Систематически не применяется утверждённый эквивалент GL-0089 «рыночный режим»,Glossary v1.14 требует «рыночный режим» и запрещает свободное чередование,Согласовать все 12 блоков с GL-0089 с учётом грамматики составных терминов,Glossary v1.14 GL-0089 + EPUB,multiple,physical 242–245 / printed 201–204,CLOSED,CONFIRMED,, ,Исправление внесено в канонический реестр CH09,Исправлено в русском тексте/target_html или закреплено как решение главы,PASS
CH09-ERR-013,2026-08-15,CH09,CH09-BATCH-001,CH09-B0002; CH09-B0003; CH09-B0006; CH09-B0008; CH09-B0015,,TERMINOLOGY,glossary_gap,Major,model-based feature(s),признак(и) на основе моделей,"Ключевой термин главы отсутствует в Glossary v1.14, но использован как окончательно утверждённый",Значимый повторяющийся термин требует глоссарного решения,"Утвердить форму и число/согласование в глоссарии, затем применить последовательно",Glossary v1.14 search + EPUB,multiple,physical 242–243 / printed 201–202,CLOSED,CONFIRMED,глоссарная запись добавлена в основной глоссарий,,GL-0316,Термин утверждён и сохранён в Glossary v1.14,PASS
CH09-ERR-014,2026-08-15,CH09,CH09-BATCH-001,CH09-B0012,,TERMINOLOGY,glossary_gap,Minor,conditioning features,обусловливающие признаки,Термин отсутствует в Glossary v1.14,Без глоссарного решения вариант нельзя считать окончательным,Утвердить или заменить термин после решения глоссария,Glossary v1.14 search + EPUB,/*/*[2]/*/*[6]/*[7],physical 243 / printed 202,CLOSED,CONFIRMED,глоссарная запись добавлена в основной глоссарий,,GL-0317,Термин утверждён и сохранён в Glossary v1.14,PASS
CH09-ERR-015,2026-08-15,CH09,CH09-BATCH-001,CH09-B0032; CH09-B0040,,TERMINOLOGY,glossary_mismatch,Major,structural breaks; Structural break features,структурные разрывы; Признаки структурных разрывов,Нарушен утверждённый эквивалент GL-0265 «структурный сдвиг»,Термин должен соответствовать Glossary v1.14,Заменить на формы от «структурный сдвиг» и проверить согласование,Glossary v1.14 GL-0265 + EPUB,multiple,physical 244–245 / printed 203–204,CLOSED,CONFIRMED,, ,Исправление внесено в канонический реестр CH09,Исправлено в русском тексте/target_html или закреплено как решение главы,PASS
CH09-ERR-016,2026-08-15,CH09,CH09-BATCH-001,CH09-B0038,,SEMANTIC_ACCURACY,unwarranted_narrowing,Major,residualized returns,доходностям после удаления систематических компонентов,"Перевод необоснованно уточняет, что удалены именно систематические компоненты",Оригинал не задаёт способ остаточной обработки; возможны иные модели/факторы,Передать общее значение остаточных доходностей без добавленного ограничения,EPUB XHTML,/*/*[2]/*/*[28],physical 245 / printed 204,CLOSED,CONFIRMED,, ,Исправление внесено в канонический реестр CH09,Исправлено в русском тексте/target_html или закреплено как решение главы,PASS
CH09-ERR-017,2026-08-15,CH09,CH09-BATCH-001,CH09-B0013,,UNWARRANTED_ADDITION,abbreviation_expansion,Minor,HMMs,скрытых марковских моделей (HMM),"Добавлена расшифровка сокращения, которой нет в проверяемом английском блоке",Style Guide запрещает приписывать автору редакционное раскрытие,Сохранить авторский объём либо оформить раскрытие по утверждённому правилу первого упоминания вне перевода,EPUB + Style Guide v1.14,/*/*[2]/*/*[7],physical 243 / printed 202,CLOSED,CONFIRMED,, ,Исправление внесено в канонический реестр CH09,Исправлено в русском тексте/target_html или закреплено как решение главы,PASS
CH09-ERR-018,2026-08-15,CH09,CH09-BATCH-001,CH09-B0021,B18427_09_01_ru.png; Drive ID 11yFItBCrZEkgK8paFEkayS5IZApHR9kg,LOCALIZATION,localized_figure_data_loss,Major,S&P 500 Price Levels; Daily Returns — Volatility Clustering; Price ($); Return (%); VIX Level; Empirical; Normal; Density; Kurtosis,"Русские подписи нанесены, однако большая часть исходных кривых, столбцов и графических данных отсутствует или скрыта","Повторная визуальная сверка показала, что локализованный рисунок 9.1 не сохраняет исходные четыре графика: данные и кривые повреждены, часть подписей и осей наложена или обрезана","Локализация должна менять только текстовые области и полностью сохранять линии, столбцы, числа, оси, легенды и компоновку исходного рисунка","Пересоздать B18427_09_01_ru.png из исходного PNG, локализовать только текст и выполнить пиксельную и визуальную повторную проверку",EPUB image B18427_09_01.png + localized Drive image + PDF physical 244 / printed 203,/*/*[2]/*/*[13]/img,physical 244 / printed 203,CLOSED,CONFIRMED,повреждение исходных графических данных при растровой локализации,,"RECHECK 2026-08-15: файл заменён в том же Drive ID; визуально подтверждены четыре исходных графика, линии, столбцы, числа, оси и компоновка.",B18427_09_01_ru.png пересоздан из исходного PNG; локализованы только текстовые области. 877×571; SHA-256 f36731dc9e8036baa9f34155eb1fbbc12fad1d719f9a8d9e944062ceeec741ab; pixel diff вне текстовых масок = 0.,PASS
CH09-ERR-019,2026-08-15,CH09,CH09-BATCH-001,CH09-B0010,,TERMINOLOGY,ambiguous_benchmark,Minor,benchmark-adjusted,скорректированные относительно эталона,«Эталон» без указания объекта двусмысленен в финансовом контексте,"Глоссарий различает ориентир, индекс и базовую модель в зависимости от объекта",Уточнить контекстный эквивалент benchmark и закрепить решение,Glossary v1.14 GL-0012/GL-0004 + EPUB,/*/*[2]/*/*[6]/*[5],physical 243 / printed 202,CLOSED,CONFIRMED,, ,Исправление внесено в канонический реестр CH09,Исправлено в русском тексте/target_html или закреплено как решение главы,PASS
CH09-ERR-020,2026-08-15,CH09,CH09-BATCH-001,CH09-B0004,,TERMINOLOGY,glossary_mismatch,Major,break risk,риск структурного разрыва,Утверждённый термин structural break передан запрещённым вариантом «структурный разрыв» в составе break risk,GL-0265 устанавливает обязательный эквивалент «структурный сдвиг»; свободное чередование запрещено Style Guide v1.14,Заменить на контекстную форму «риск структурного сдвига» и повторно проверить target_html,Glossary v1.14 GL-0265 + EPUB XHTML + PDF,/*/*[2]/*/*[4],physical 242 / printed 201,CLOSED,CONFIRMED,неприменение обязательного эквивалента глоссария,,RECHECK 2026-08-15: GL-0265 применён в russian_text и target_html.,«риск структурного разрыва» заменено на «риск структурного сдвига».,PASS
CH09-ERR-021,2026-08-15,CH09,CH09-BATCH-001,CH09-B0011,,SEMANTIC_ACCURACY,live_vs_real_time,Major,"safe for live, point-in-time use",можно безопасно использовать в реальном времени с соблюдением корректности на момент времени,Значение live как фактического эксплуатационного применения подменено значением real-time — «в реальном времени»,"Оригинал противопоставляет исследовательские методы признакам, пригодным для реального/промышленного применения, а не вводит требование обработки в реальном времени",Передать смысл «безопасно использовать в реальном режиме/реальной торговле с соблюдением корректности на момент времени» без добавления real-time,EPUB XHTML + PDF + Glossary v1.14 GL-0215/GL-0218/GL-0219,/*/*[2]/*/*[6]/*[6],physical 243 / printed 202,CLOSED,CONFIRMED,смешение live-use и real-time,,RECHECK 2026-08-15: live use передано как эксплуатационное применение; добавления real-time нет.,«в реальном времени» заменено на «в реальной эксплуатации».,PASS
CH09-ERR-022,2026-08-15,CH09,CH09-BATCH-001,CH09-B0015,,TERMINOLOGY,glossary_mismatch,Major,a detected break date,обнаруженная дата структурного разрыва,Утверждённый термин structural break передан вариантом «структурный разрыв»,GL-0265 требует «структурный сдвиг»; термин должен быть одинаков во всём проверяемом диапазоне,Заменить на «обнаруженная дата структурного сдвига» и повторно проверить target_html,Glossary v1.14 GL-0265 + EPUB XHTML + PDF,/*/*[2]/*/*[9],physical 243 / printed 202,CLOSED,CONFIRMED,неприменение обязательного эквивалента глоссария,CH09-ERR-020,RECHECK 2026-08-15: GL-0265 применён в russian_text и target_html.,«дата структурного разрыва» заменено на «дата структурного сдвига».,PASS
CH09-ERR-023,2026-08-15,CH09,CH09-BATCH-001,CH09-B0034,,TERMINOLOGY,glossary_mismatch,Major,For feature engineering,Для проектирования признаков,Утверждённый термин feature engineering заменён неутверждённым вариантом «проектирование признаков»,GL-0046 устанавливает основной эквивалент «конструирование признаков»; стилистическое чередование запрещено,Заменить на «Для конструирования признаков» и повторно проверить связный текст и target_html,Glossary v1.14 GL-0046 + EPUB XHTML + PDF,/*/*[2]/*/*[23],physical 245 / printed 204,CLOSED,CONFIRMED,неприменение обязательного эквивалента глоссария,CH09-ERR-020; CH09-ERR-022,RECHECK 2026-08-15: GL-0046 применён в russian_text и target_html.,«Для проектирования признаков» заменено на «Для конструирования признаков».,PASS
CH09-ERR-024,2026-08-15,CH09,CH09-BATCH-002,CH09-B0074,,SEMANTIC_ACCURACY,contextual_verb_mistranslation,Minor,what we are trying to infer,"величины, которую мы пытаемся вывести","Глагол infer в контексте модели пространства состояний передан как «вывести», что создаёт двусмысленность логического вывода вместо оценивания скрытого состояния по наблюдениям",В данном контексте речь идёт о статистическом оценивании ненаблюдаемой величины,"Передать как «величины, которую мы пытаемся оценить/восстановить по наблюдениям» и повторно проверить абзац",EPUB XHTML + PDF physical 248,/*/*[2]/*/*[57],physical 248 / printed 207,CLOSED,CONFIRMED,недостаточная контекстная проверка технического глагола,,RECHECK 2026-08-15: infer передано как статистическое оценивание скрытого состояния.,«пытаемся вывести» заменено на «пытаемся оценить» в russian_text и target_html.,PASS
CH09-ERR-025,2026-08-15,CH09,CH09-BATCH-001,CH09-B0004; CH09-B0005; CH09-B0006; CH09-B0007,,TERMINOLOGY,glossary_gap,Major,fitted procedure / fitted procedures,обученная процедура / обученные процедуры,"Повторяющийся ключевой термин fitted procedure отсутствует в Glossary v1.14, но используется как окончательно утверждённый вариант",Термин описывает оценённую/подогнанную статистическую процедуру; вариант «обученная» требует нормативного решения и разграничения с model training,"Утвердить эквивалент в глоссарии, затем последовательно применить решение к четырём блокам",Glossary v1.14 search + EPUB XHTML + PDF,/*/*[2]/*/*[4]; /*/*[2]/*/*[5]; /*/*[2]/*/*[6]/*[1]; /*/*[2]/*/*[6]/*[2],physical 242 / printed 201,CLOSED,CONFIRMED,неполный охват ключевой терминологии главы глоссарием,,RECHECK 2026-08-15: добавлен GL-0319; единый эквивалент применён к CH09-B0004–CH09-B0007.,Утверждено fitted procedure → «оценённая процедура»; заменены четыре употребления в russian_text и target_html.,PASS
CH09-ERR-026,2026-08-15,CH09,CH09-BATCH-003,CH09-B0090,,SOURCE_MAPPING,incorrect_pdf_page,Major,Implementation: 04_kalman_filter,пусто — блок ещё не переведён,В реестре для CH09-B0090 указана неверная привязка PDF: physical 242 / printed 201; визуальная сверка помещает блок на physical 250 / printed 209.,Пагинация строки была ошибочно унаследована от начала главы вместо фактического расположения блока.,"Исправить pdf_physical_page на 250, pdf_printed_page на 209 и повторно сверить блок с PDF.",EPUB Chapter_9.xhtml + PDF visual reference,/*/*[2]/*/*[71]/*,physical 250 / printed 209,CLOSED,CONFIRMED,ошибка наследования пагинации при формировании реестра,,После исправления повторно сверено: CH09-B0090 расположен на PDF physical 250 / printed 209.,pdf_physical_page=250; pdf_printed_page=209; перевод и DEEP QA выполнены.,PASS
CH09-ERR-027,2026-08-15,CH09,CH09-BATCH-003,CH09-B0103,,SOURCE_MAPPING,incorrect_pdf_page,Major,Implementation: See 05_spectral_features,пусто — блок ещё не переведён,В реестре для CH09-B0103 указана неверная привязка PDF: physical 242 / printed 201; визуальная сверка помещает блок на physical 251 / printed 210.,Пагинация строки была ошибочно унаследована от начала главы вместо фактического расположения блока.,"Исправить pdf_physical_page на 251, pdf_printed_page на 210 и повторно сверить блок с PDF.",EPUB Chapter_9.xhtml + PDF visual reference,/*/*[2]/*/*[82]/*,physical 251 / printed 210,CLOSED,CONFIRMED,ошибка наследования пагинации при формировании реестра,,После исправления повторно сверено: CH09-B0103 расположен на PDF physical 251 / printed 210.,pdf_physical_page=251; pdf_printed_page=210; перевод и DEEP QA выполнены.,PASS
CH09-ERR-028,2026-08-15,CH09,CH09-BATCH-003,CH09-B0110,,SOURCE_MAPPING,incorrect_pdf_page,Major,Implementation: See 05_spectral_features,пусто — блок ещё не переведён,В реестре для CH09-B0110 указана неверная привязка PDF: physical 242 / printed 201; визуальная сверка помещает блок на physical 252 / printed 211.,Пагинация строки была ошибочно унаследована от начала главы вместо фактического расположения блока.,"Исправить pdf_physical_page на 252, pdf_printed_page на 211 и повторно сверить блок с PDF.",EPUB Chapter_9.xhtml + PDF visual reference,/*/*[2]/*/*[89]/*,physical 252 / printed 211,CLOSED,CONFIRMED,ошибка наследования пагинации при формировании реестра,,После исправления повторно сверено: CH09-B0110 расположен на PDF physical 252 / printed 211.,pdf_physical_page=252; pdf_printed_page=211; перевод и DEEP QA выполнены.,PASS
CH09-ERR-029,2026-08-15,CH09,CH09-BATCH-003,CH09-B0114,,SOURCE_MAPPING,incorrect_pdf_page,Major,At depth-1,пусто — блок ещё не переведён,В реестре для CH09-B0114 указана неверная привязка PDF: physical 242 / printed 201; визуальная сверка помещает блок на physical 252 / printed 211.,Пагинация строки была ошибочно унаследована от начала главы вместо фактического расположения блока.,"Исправить pdf_physical_page на 252, pdf_printed_page на 211 и повторно сверить блок с PDF.",EPUB Chapter_9.xhtml + PDF visual reference,/*/*[2]/*/*[93]/*[1],physical 252 / printed 211,CLOSED,CONFIRMED,ошибка наследования пагинации при формировании реестра,,После исправления повторно сверено: CH09-B0114 расположен на PDF physical 252 / printed 211.,pdf_physical_page=252; pdf_printed_page=211; перевод и DEEP QA выполнены.,PASS
CH09-ERR-030,2026-08-15,CH09,CH09-BATCH-003,CH09-B0115,,SOURCE_MAPPING,incorrect_pdf_page,Major,At depth-2,пусто — блок ещё не переведён,В реестре для CH09-B0115 указана неверная привязка PDF: physical 242 / printed 201; визуальная сверка помещает блок на physical 252 / printed 211.,Пагинация строки была ошибочно унаследована от начала главы вместо фактического расположения блока.,"Исправить pdf_physical_page на 252, pdf_printed_page на 211 и повторно сверить блок с PDF.",EPUB Chapter_9.xhtml + PDF visual reference,/*/*[2]/*/*[93]/*[2],physical 252 / printed 211,CLOSED,CONFIRMED,ошибка наследования пагинации при формировании реестра,,После исправления повторно сверено: CH09-B0115 расположен на PDF physical 252 / printed 211.,pdf_physical_page=252; pdf_printed_page=211; перевод и DEEP QA выполнены.,PASS
